text,label,n_words,clean_text
"Pouvez-vous me dire comment dire «je ne parle pas beaucoup espagnol», en espagnol",translate,13,pouvezvous dire comment dire beaucoup espagnol espagnol
Dites-moi comment dire: «C'est une belle matinée» en italien,translate,9,ditesmoi comment dire cest bel matiner italien
"Si j'étais japonais, comment dirais-je que je suis touriste",translate,9,jétai japonais comment diraisje tourist
Comment dire «hôtel» en finnois,translate,5,comment dire hôtel finnois
"J'ai besoin que vous traduisiez la phrase, «nous y serons bientôt» en portugais",translate,13,jai besoin traduire phrase seron bientôt portuger
Veuillez me dire comment demander un taxi en français,translate,9,vouloir dire comment demander taxi français
Comment dire bonjour en anglais,translate,5,comment dire bonjour anglais
La Corée du Nord a-t-elle des alertes de voyage que je devrais être conscientes,travel_alert,14,corée nord atell alerte voyage devoir conscienter
Y a-t-il des alertes de voyage pour la Syrie,travel_alert,9,atil alerte voyage syrie
Y a-t-il une alerte de voyage pour la Russie,travel_alert,9,atil alerte voyage russie
Est-il sûr de se rendre en Islande,travel_alert,7,estil sûr islande
Parlez-moi des alertes de voyage émises pour l'Allemagne,travel_alert,8,parlezmoi alerte voyage émise lallemagn
Y a-t-il des nouvelles sur le vol DL123,flight_status,8,atil vol dl123
Quand allons-nous commencer à monter à bord de mon vol prévu,flight_status,11,allonsnous commencer monter bord vol prévoir
Quand mon vol décollera-t-il,flight_status,4,vol décolleratil
Quand mon vol atterrira-t-il,flight_status,4,vol atterriratil
quelle est la porte d'embarquement pour mon vol AF847,flight_status,9,quell porte dembarquement vol af847
Quand vais-je arriver à destination,flight_status,5,vaisje arriver destination
Localiser les bagages perdus de Flight America Airlines à O'Hare,lost_luggage,10,localiser bagage perdu flight america airline ohare
Perte des bagages sur Flight America Airlines à O'Hare,lost_luggage,9,perte bagage flight america airline ohare
Je pense que mes bagages ont été perdus,lost_luggage,8,penser bagage perdre
"Mes bagages sont manquants, j'étais sur le vol Frontier AB123 depuis Seattle",lost_luggage,12,bagage manquant jéter vol frontier ab123 seattle
"Aide, j'ai perdu mes bagages",lost_luggage,5,aide jai perdre bagage
Savez-vous qui je devrais contacter car mes valises ne sont pas arrivées,lost_luggage,12,savezvou devoir contacter valise arriver
À qui dois-je me plaindre que mes bagages n'arrivent pas à l'aéroport,lost_luggage,12,doisj plaindre bagage narriver laéroport
Veuillez suggérer des activités touristiques amusantes à Tokyo,travel_suggestion,8,vouloir suggérer activité touristique amusant tokyo
"Si je vais à Evans, que dois-je faire",travel_suggestion,8,aller evans doisje faire
Quels sont les bons restaurants à Chicago,travel_suggestion,7,bon restaurant chicago
où devrais-je passer mon temps libre,travel_suggestion,6,devraisje passer temps libre
Que puis-je faire à Nashville,travel_suggestion,5,puisje faire nashville
Donnez-moi une liste de choses à faire à Orlando,travel_suggestion,9,donnezmoi liste chose faire orlando
Où est la meilleure cave du sud de la France,travel_suggestion,10,meilleur cave sud france
Y a-t-il des activités touristiques amusantes en Australie,travel_suggestion,8,atil activité touristique amusant australi
Voulez-vous me faire part des restrictions de bagage à main pour American Airlines,carry_on,13,voulezvou faire part restriction bagage main american airline
Restrictions de cabine pour les émirats arabes unis,carry_on,8,restriction cabine émirat arabe unir
Qu'est-ce que je suis autorisé à prendre en cabine avec American Airlines,carry_on,12,questce autoriser prendre cabine american airline
Y a-t-il une limite de poids pour mon bagage à main,carry_on,11,atil limite poids bagage main
Combien de bagages à main puis-je prendre pendant un vol avec United pour Lax,carry_on,14,bagage main puisj prendre vol united
Quelles sont les règles concernant les bagages à main pour les vols Virgin Airlines,carry_on,14,règle concerner bagage main vol virgin airline
Y a-t-il une limite de poids de bagage cabine,carry_on,9,atil limite poids bagage cabin
Dois-je payer pour mes bagages à main,carry_on,7,doisje payer bagage main
Réservez-moi une chambre du 11 au 15 novembre à Cali,book_hotel,10,réservezmoi chambre 11 15 novembre cali
Trouvez-moi un endroit où séjourner à Cali du 11 au 15 novembre,book_hotel,12,trouvezmoi endroit séjourner cali 11 15 novembre
Quels hôtels ont des critiques décentes à Bangor,book_hotel,8,hôtel critique décent bangor
Veuillez me trouver une chambre d'hôtel pour 4 personnes du lundi au mercredi à Lakewood,book_hotel,15,vouloir trouver chambre dhôtel 4 lundi mercredi lakewood
"Trouvez un hôtel Columbus, Ohio avec de bonnes critiques",book_hotel,9,trouver hôtel columbus ohio bon critique
"S'il vous plaît, aidez-moi à réserver un endroit où séjourner à Pittsburgh du lundi au vendredi",book_hotel,16,sil plaire aidezmoi réserver endroit séjourner pittsburgh lundi vendredi
J'ai besoin d'une chambre d'hôtel assez grande pour 4 personnes du lundi au mercredi à Lakewood,book_hotel,16,jai besoin dune chambre dhôtel grand 4 lundi mercredi lakewood
Trouvez-moi des vols aller-retour de LAX vers SFOX,book_flight,8,trouvezmoi vol allerretour sfo
Réservez un vol de Chicago à DC lundi et revenant mercredi,book_flight,11,réserver vol chicago dc lundi revenir mercredi
Je recherche un vol aller-retour de AAF à DIA du 23 février au 28 février,book_flight,15,recherche vol allerretour aaf dia 23 février 28 février
Pourriez-vous faire une réservation de vol avec Air Emirates d'Orlando à Londres,book_flight,12,pourriezvous faire réservation vol air emirate dorlando londre
J'ai besoin de réserver un vol aller-retour de Dallas à Los Angeles du 2 au 10 mars,book_flight,17,jai besoin réserver vol allerretour dallas los angele 2 10 mars
Je voudrais savoir quels vols sont disponibles sur El Paso à Dallas le 10 juin pour moins de 300 $,book_flight,20,vouloir savoir vol disponible el paso dallas 10 juin 300
Combien coûte des frais de découvert pour la banque,out_of_scope,9,coûter frais découvert banque
Quelle taille d'essuie-glace cette voiture prend-t-elle,out_of_scope,6,taille dessuieglace voiture prendtell
Quel est le plus grand état des États-Unis,out_of_scope,8,grand état étatsunis
Quelle est la compagnie aérienne la plus populaire,out_of_scope,8,quell compagnie aérien populaire
Combien de planètes avons-nous découvert,out_of_scope,5,planète avonsnous découvrir
